Month,Predicted Water M3,Monthly Water Cost,Warm Water M3,Warm Heating Water Cost per person,Cold Water Cost per person,Total Water Cost per person,Predicted Heat MWH,Monthly Heating Cost
1,77.53943790238588,292.29266511683386,31.015775160954355,4.833084857414314,9.743088837227795,14.576173694642108,9.455000248000001,762.0730199888001
2,58.30301669207537,219.77905172244732,23.32120667683015,3.6340658990948524,7.325968390748244,10.960034289843097,8.540000224000002,688.3240180544001
3,71.99164138440817,271.379691362665,28.79665655376327,4.004040709403532,9.045989712088835,13.050030421492366,9.455000248000001,680.0036178361601
4,75.09281717740008,283.0698836319273,30.03712687096003,3.312414252324483,9.43566278773091,12.748077040055394,9.15000024,521.9160136896002
5,72.59211465367733,273.64323539850204,29.03684586147093,2.3667739482712546,9.121441179950068,11.488215128221322,9.455000248000001,398.62281045568005
6,61.00990446361916,229.98293586605877,24.403961785447663,1.5796196384484562,7.666097862201959,9.245717500650414,9.15000024,306.3420080352
7,74.1112279018705,279.3696846988911,29.644491160748206,1.9188286238529098,9.31232282329637,11.231151447149278,9.455000248000001,316.55340830304
8,75.6632322267158,285.2201202018279,30.265292890686325,1.9590118782283443,9.50733734006093,11.466349218289274,9.455000248000001,316.55340830304
9,66.84706599142423,251.98669996127276,26.738826396569692,2.1153620338854218,8.399556665375759,10.51491869926118,9.15000024,374.4180098208001
10,69.90556477819752,263.51601698789335,27.962225911279006,3.217669260062698,8.783867232929778,12.001536492992475,9.455000248000001,562.7616147609601
11,73.03719443072947,275.3210081260778,29.21487777229179,3.9221168175153545,9.177366937535927,13.099483755051281,9.15000024,635.3760166656
12,70.4527056247134,265.57851912291966,28.181082249885364,4.256245214364687,8.852617304097322,13.10886251846201,9.455000248000001,738.6246193737602
