Date,Predicted Water M3,Predicted Heat MWH,Warm Water M3,Daily Water Cost,Warm Heating Water MWH,Cold Water Cost per person,Month,Daily Heating Cost,Daily Water Heating Cost,Warm Heating Water Cost per person,Total Water Cost per person
2023-01-01,2.2429289643003054,0.30500000800000004,0.8971715857201222,8.454945023826431,0.052035951971767094,0.2818315007942144,1,24.583000644800002,4.194097728924428,0.13980325763081425,0.4216347584250286
2023-01-02,5.394617487887087,0.30500000800000004,2.157846995154835,20.335550082339164,0.12515512571898044,0.6778516694113055,1,24.583000644800002,10.087503132949822,0.3362501044316607,1.0141017738429663
2023-01-03,2.605459310685102,0.30500000800000004,1.0421837242740408,9.82153941755856,0.060446656007894374,0.327384647251952,1,24.583000644800002,4.872000474236287,0.16240001580787622,0.4897846630598282
2023-01-04,2.4473251193562757,0.30500000800000004,0.9789300477425104,9.225436769925418,0.0567779427690656,0.30751455899751395,1,24.583000644800002,4.576302187186687,0.15254340623955623,0.4600579652370702
2023-01-05,2.2312355101977674,0.30500000800000004,0.8924942040791071,8.410865379241505,0.05176466383658821,0.2803621793080502,1,24.583000644800002,4.172231905229009,0.13907439684096698,0.4194365761490172
2023-01-06,4.721506993543404,0.30500000800000004,1.8886027974173616,17.798192762861216,0.10953896225020698,0.5932730920953738,1,24.583000644800002,8.828840357366682,0.2942946785788894,0.8875677706742633
2023-01-07,4.757318316118484,0.30500000800000004,1.9029273264473936,17.933187124440238,0.11036978493394883,0.5977729041480079,1,24.583000644800002,8.895804665676275,0.29652682218920917,0.894299726337217
2023-01-08,1.9836326511900741,0.30500000800000004,0.7934530604760297,7.477501641926104,0.04602027750760972,0.2492500547308701,1,24.583000644800002,3.7092343671133436,0.12364114557044478,0.3728912003013149
2023-01-09,1.9217591428506682,0.30500000800000004,0.7687036571402673,7.244263264889879,0.04458481211413551,0.24147544216299596,1,24.583000644800002,3.593535856399322,0.11978452854664406,0.36125997070964
2023-01-10,0.03500741627369086,0.30500000800000004,0.014002966509476345,0.13196395638530506,0.000812172057549628,0.004398798546176835,1,24.583000644800002,0.06546106783850002,0.0021820355946166672,0.0065808341407935025
2023-01-11,2.6312492094248547,0.30500000800000004,1.0524996837699419,9.918757019847932,0.06104498165865663,0.3306252339949311,1,24.583000644800002,4.9202255216877235,0.1640075173895908,0.4946327513845219
2023-01-12,2.707348956281627,0.30500000800000004,1.0829395825126509,10.20562262559922,0.06281049578573375,0.34018742085330733,1,24.583000644800002,5.06252596033014,0.168750865344338,0.5089382861976454
2023-01-13,1.8818098807282158,0.30500000800000004,0.7527239522912863,7.093670526393082,0.04365798923289461,0.23645568421310276,1,24.583000644800002,3.518833932171305,0.11729446440571016,0.35375014861881293
2023-01-14,2.8190197298073576,0.30500000800000004,1.127607891922943,10.626576773481816,0.0654012577315307,0.3542192257827272,1,24.583000644800002,5.271341373161374,0.17571137910537915,0.5299306048881063
2023-01-15,1.600758293549489,0.30500000800000004,0.6403033174197956,6.034218463364154,0.03713759241034815,0.20114061544547182,1,24.583000644800002,2.9932899482740605,0.09977633160913535,0.30091694705460714
2023-01-16,3.055482656523467,0.30500000800000004,1.2221930626093869,11.517947422030861,0.07088719763134445,0.38393158073436207,1,24.583000644800002,5.713508129086362,0.1904502709695454,0.5743818517039074
2023-01-17,3.541485834484707,0.30500000800000004,1.4165943337938829,13.349985001673552,0.08216247136004522,0.4449995000557851,1,24.583000644800002,6.622295191619644,0.22074317305398813,0.6657426731097732
2023-01-18,2.850183349201217,0.30500000800000004,1.140073339680487,10.74405115314891,0.06612425370146825,0.35813503843829697,1,24.583000644800002,5.329614848338341,0.1776538282779447,0.5357888667162417
2023-01-19,1.5051764376373225,0.30500000800000004,0.602070575054929,5.673913099317651,0.03492009335318588,0.18913043664392168,1,24.583000644800002,2.814559524266782,0.09381865080889273,0.28294908745281444
2023-01-20,2.334321449826314,0.30500000800000004,0.9337285799305257,8.799458137265274,0.05415625763597049,0.2933152712421758,1,24.583000644800002,4.364994365459221,0.14549981218197405,0.4388150834241499
2023-01-21,1.6161466871426653,0.30500000800000004,0.6464586748570662,6.092226551852991,0.03749460314170984,0.2030742183950997,1,24.583000644800002,3.022065013221813,0.1007355004407271,0.3038097188358268
2023-01-22,2.977143705888718,0.30500000800000004,1.1908574823554872,11.222640913718111,0.06906973397661825,0.37408803045727035,1,24.583000644800002,5.567020558515431,0.18556735195051435,0.5596553824077847
2023-01-23,0.8412423484978349,0.30500000800000004,0.33649693939913394,3.1711471568974385,0.01951682248514977,0.10570490522991462,1,24.583000644800002,1.5730558923030713,0.05243519641010238,0.158140101640017
2023-01-24,2.4722619344444805,0.30500000800000004,0.9889047737777923,9.319438588081914,0.05735647687911195,0.3106479529360638,1,24.583000644800002,4.622932036456423,0.15409773454854744,0.4647456874846112
2023-01-25,2.8516395182052716,0.30500000800000004,1.1406558072821087,10.749540327826592,0.0661580368223623,0.35831801092755305,1,24.583000644800002,5.332337767882401,0.1777445922627467,0.5360626031902997
2023-01-26,4.071041145532062,0.30500000800000004,1.6284164582128249,15.34619670219766,0.09444815457634385,0.5115398900732554,1,24.583000644800002,7.612521258853314,0.2537507086284438,0.7652905987016991
2023-01-27,1.8669723700789347,0.30500000800000004,0.7467889480315739,7.037739046249552,0.04331375898583129,0.23459130154165173,1,24.583000644800002,3.491088974258002,0.11636963247526673,0.35096093401691847
2023-01-28,0.47237037256167524,0.30500000800000004,0.1889481490246701,1.780647356408491,0.010958992643430867,0.05935491188028304,1,24.583000644800002,0.8832948070605278,0.029443160235350926,0.08879807211563397
