Date,Predicted Water M3,Predicted Heat MWH
2023-01-01,3.357442259029599,0.305000008
2023-01-02,2.8494893434082695,0.305000008
2023-01-03,3.7539263582138394,0.305000008
2023-01-04,3.732382642899238,0.305000008
2023-01-05,3.4179493154443485,0.305000008
2023-01-06,3.3357350884720525,0.305000008
2023-01-07,3.44171406517524,0.305000008
2023-01-08,3.5205228504109525,0.305000008
2023-01-09,3.5675127683246486,0.305000008
2023-01-10,3.4162813740481877,0.305000008
2023-01-11,3.430405482587355,0.305000008
2023-01-12,3.487156613356079,0.305000008
2023-01-13,3.499682759504548,0.305000008
2023-01-14,3.476615549791524,0.305000008
2023-01-15,3.4611258091414943,0.305000008
2023-01-16,3.4596308838002527,0.305000008
2023-01-17,3.48464668243662,0.305000008
2023-01-18,3.480295374160055,0.305000008
2023-01-19,3.4700379907215115,0.305000008
2023-01-20,3.4684450374292783,0.305000008
2023-01-21,3.473299392319154,0.305000008
2023-01-22,3.476022559209282,0.305000008
2023-01-23,3.4752084098691154,0.305000008
2023-01-24,3.4711291835260694,0.305000008
2023-01-25,3.4722350347462787,0.305000008
2023-01-26,3.4740755116073423,0.305000008
2023-01-27,3.4742040419523312,0.305000008
2023-01-28,3.47321771580822,0.305000008
2023-01-29,3.4727830176353653,0.305000008
2023-01-30,3.4730959943499062,0.305000008
2023-01-31,3.473748443976854,0.305000008
2023-02-01,3.4734921522203974,0.305000008
2023-02-02,3.4731665957539732,0.305000008
2023-02-03,3.4731775675169536,0.305000008
2023-02-04,3.4733713886938573,0.305000008
2023-02-05,3.4734333505659563,0.305000008
2023-02-06,3.47335195582776,0.305000008
2023-02-07,3.4732503432769457,0.305000008
2023-02-08,3.4733064601635357,0.305000008
2023-02-09,3.4733628899610127,0.305000008
2023-02-10,3.4733540425364646,0.305000008
2023-02-11,3.4733171337010327,0.305000008
2023-02-12,3.4733097938742428,0.305000008
2023-02-13,3.4733280987909243,0.305000008
2023-02-14,3.4733433347191993,0.305000008
2023-02-15,3.473331538189508,0.305000008
2023-02-16,3.4733220118245813,0.305000008
2023-02-17,3.4733249203577734,0.305000008
2023-02-18,3.473331739792574,0.305000008
2023-02-19,3.4733322568110707,0.305000008
2023-02-20,3.4733284562207074,0.305000008
2023-02-21,3.4733262991687504,0.305000008
2023-02-22,3.4733286999732305,0.305000008
2023-02-23,3.473330254549459,0.305000008
2023-02-24,3.4733294895950046,0.305000008
2023-02-25,3.4733282669561882,0.305000008
2023-02-26,3.4733283329919407,0.305000008
2023-02-27,3.4733290809436563,0.305000008
2023-02-28,3.4733293581458824,0.305000008
2023-03-01,3.473328882868863,0.305000008
2023-03-02,3.4733286403649943,0.305000008
2023-03-03,3.4733288206150355,0.305000008
2023-03-04,3.4733290330256974,0.305000008
2023-03-05,3.4733289910776186,0.305000008
2023-03-06,3.473328849824007,0.305000008
2023-03-07,3.4733288207278106,0.305000008
2023-03-08,3.473328912495571,0.305000008
2023-03-09,3.473328947962516,0.305000008
2023-03-10,3.473328908314681,0.305000008
2023-03-11,3.4733288726784854,0.305000008
2023-03-12,3.473328885698263,0.305000008
2023-03-13,3.473328911446853,0.305000008
2023-03-14,3.4733289128480562,0.305000008
2023-03-15,3.473328895542323,0.305000008
2023-03-16,3.473328890871249,0.305000008
2023-03-17,3.473328899172108,0.305000008
2023-03-18,3.4733289049076097,0.305000008
2023-03-19,3.473328901603119,0.305000008
2023-03-20,3.473328897063942,0.305000008
2023-03-21,3.4733288975069354,0.305000008
2023-03-22,3.4733289006957118,0.305000008
2023-03-23,3.4733289011913273,0.305000008
2023-03-24,3.4733288995195792,0.305000008
2023-03-25,3.473328898644873,0.305000008
2023-03-26,3.473328899402633,0.305000008
2023-03-27,3.47332890017567,0.305000008
2023-03-28,3.4733288999724086,0.305000008
2023-03-29,3.4733288993985814,0.305000008
2023-03-30,3.473328899376685,0.305000008
2023-03-31,3.4733288997025213,0.305000008
2023-04-01,3.473328899825865,0.305000008
2023-04-02,3.473328899662913,0.305000008
2023-04-03,3.473328899536281,0.305000008
2023-04-04,3.4733288995943257,0.305000008
2023-04-05,3.473328899695024,0.305000008
2023-04-06,3.4733288996862215,0.305000008
2023-04-07,3.473328899624548,0.305000008
2023-04-08,3.473328899609364,0.305000008
2023-04-09,3.473328899642815,0.305000008
2023-04-10,3.473328899662588,0.305000008
2023-04-11,3.473328899648509,0.305000008
2023-04-12,3.473328899631324,0.305000008
2023-04-13,3.473328899635254,0.305000008
2023-04-14,3.4733288996466083,0.305000008
2023-04-15,3.4733288996479526,0.305000008
2023-04-16,3.4733288996413343,0.305000008
2023-04-17,3.4733288996384437,0.305000008
2023-04-18,3.473328899641573,0.305000008
2023-04-19,3.473328899644412,0.305000008
2023-04-20,3.4733288996432847,0.305000008
2023-04-21,3.4733288996412512,0.305000008
2023-04-22,3.4733288996412752,0.305000008
2023-04-23,3.473328899642544,0.305000008
2023-04-24,3.4733288996429246,0.305000008
2023-04-25,3.4733288996422678,0.305000008
2023-04-26,3.4733288996418175,0.305000008
2023-04-27,3.4733288996420932,0.305000008
2023-04-28,3.473328899642447,0.305000008
2023-04-29,3.4733288996423934,0.305000008
2023-04-30,3.473328899642157,0.305000008
2023-05-01,3.4733288996421168,0.305000008
2023-05-02,3.473328899642249,0.305000008
2023-05-03,3.4733288996423166,0.305000008
2023-05-04,3.473328899642255,0.305000008
2023-05-05,3.4733288996421954,0.305000008
2023-05-06,3.473328899642214,0.305000008
2023-05-07,3.4733288996422567,0.305000008
2023-05-08,3.4733288996422584,0.305000008
