Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-01,2.310791015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-02,4.147705078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-03,3.128662109375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-04,2.44677734375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-05,3.42578125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-06,4.656982421875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-07,3.017333984375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-08,3.7333984375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-09,4.677734375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-10,2.81298828125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-11,1.526611328125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-12,0.566162109375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-13,2.45361328125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-14,3.420654296875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-15,2.509521484375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-16,3.97314453125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-17,4.07470703125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-18,3.06884765625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-19,2.692626953125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-20,3.710205078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-21,4.5283203125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-22,2.663330078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-23,3.690185546875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-24,3.938720703125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-25,2.92919921875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-26,2.437744140625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-27,2.7685546875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-28,4.010986328125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-29,4.71630859375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-09-30,3.50439453125,-
