Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-01,2.286865234375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-02,1.431884765625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-03,3.692138671875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-04,8.025146484375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-05,2.85107421875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-06,1.87939453125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-07,1.496826171875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-08,2.767822265625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-09,1.212890625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-10,2.273681640625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-11,10.611328125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-12,1.506591796875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-13,1.533447265625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-14,1.513916015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-15,2.36767578125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-16,1.587158203125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-17,2.412353515625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-18,3.977783203125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-19,5.64404296875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-20,1.87451171875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-21,1.5595703125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-22,4.002197265625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-23,2.672119140625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-24,4.3984375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-25,8.83984375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-26,2.043701171875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-27,1.625244140625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-28,1.722900390625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-29,2.762451171875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2023-11-30,2.46630859375,-
