Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-01,2.501000005751848,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-02,2.6250000074505806,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-03,2.685999993234873,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-04,2.6720000207424164,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-05,2.6790000274777412,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-06,2.5590000115334988,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-07,2.6709999926388264,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-08,2.052999993786216,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-09,1.6640000063925982,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-10,1.633999996818602,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-11,2.0539999986067414,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-12,2.174999996088445,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-13,2.1130000110715628,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-14,1.9360000006854534,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-15,2.1710000075399876,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-16,2.469999998807907,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-17,2.1920000072568655,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-18,2.0959999971091747,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-19,2.3389999978244305,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-20,2.41100000590086,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-21,1.917000012472272,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-22,1.6640000008046627,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-23,1.5070000160485506,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-24,1.5800000093877316,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-25,1.8400000091642141,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-26,1.993000004440546,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-27,1.682000007480383,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-28,1.440000019967556,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-29,1.5360000133514404,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-30,1.5880000088363886,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-01-31,1.2850000141188502,-
