Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-01,3.396484375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-02,1.600341796875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-03,0.9541015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-04,3.443115234375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-05,4.684326171875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-06,5.478515625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-07,2.430419921875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-08,2.4541015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-09,2.749267578125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-10,4.286376953125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-11,4.923583984375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-12,2.587158203125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-13,4.97021484375,-
