Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-01,3.48681640625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-02,1.96923828125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-03,3.05078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-04,3.963623046875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-05,1.538330078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-06,5.404052734375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-07,1.525146484375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-08,1.710693359375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-09,4.397216796875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-10,2.878662109375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-11,2.20166015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-12,3.775634765625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-13,2.859130859375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-14,2.9140625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-15,7.94091796875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-16,1.270751953125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-17,2.509033203125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-18,1.233642578125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-19,4.26220703125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-20,3.6162109375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-21,2.41552734375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-22,2.0791015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-23,4.022705078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-24,3.4599609375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-25,3.648681640625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-26,2.092529296875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-27,4.493408203125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-28,3.510986328125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-29,5.70751953125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-30,1.212158203125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-03-31,3.335205078125,-
