Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-01,2.891357421875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-02,2.986572265625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-03,3.627685546875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-04,1.767333984375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-05,2.22265625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-06,4.849365234375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-07,3.7421875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-08,4.124267578125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-09,6.363037109375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-10,0.19482421875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-11,2.54931640625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-12,1.338623046875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-13,3.366943359375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-14,3.313232421875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-15,2.54052734375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-16,4.787109375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-17,4.173095703125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-18,4.406005859375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-19,1.524169921875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-20,2.625732421875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-21,3.400146484375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-22,3.9951171875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-23,4.416015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-24,1.427978515625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-25,2.750244140625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-26,2.991455078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-27,3.69580078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-28,3,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-29,4.80810546875,-
