Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-01,1.7430000063031912,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-02,1.596000012010336,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-03,1.5120000103488564,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-04,1.5620000017806888,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-05,1.7300000078976154,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-06,1.7489999858662486,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-07,2.128999998793006,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-08,2.2919999938458204,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-09,2.2370000164955854,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-10,2.34599999897182,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-11,2.1900000162422657,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-12,2.101000003516674,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-13,2.1300000101327896,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-14,1.6870000008493662,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-15,1.5150000033900142,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-16,1.559000008739531,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-17,1.7370000062510371,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-18,1.6149999927729368,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-19,1.656000011600554,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-20,1.4530000081285834,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-21,1.6850000116974115,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-22,1.4509999984875321,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-23,1.5240000113844872,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-24,1.4380000066012144,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-25,1.448000006377697,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-26,1.4510000171139836,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-27,1.5570000056177378,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-28,1.5350000001490116,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-02-29,1.2980000041425228,-
