Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-01,3.396484375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-02,1.600341796875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-03,0.9541015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-04,3.443115234375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-05,4.684326171875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-06,5.478515625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-07,2.430419921875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-08,2.4541015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-09,2.749267578125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-10,4.286376953125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-11,4.923583984375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-12,2.587158203125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-13,5.447998046875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-14,4.3623046875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-15,2.341064453125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-16,2.8447265625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-17,3.4091796875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-18,3.100341796875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-19,2.528076171875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-20,2.119384765625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-21,2.062255859375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-22,7.63818359375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-23,0.822509765625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-24,4.89794921875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-25,2.313232421875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-26,4.426025390625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-27,5.365966796875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-28,1.9970703125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-29,3.365478515625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-04-30,4.5400390625,-
