Association,Timestamp,Consumption 2024,Consumption 2023
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-01,6.414306640625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-02,1.573974609375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-03,2.455078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-04,0.988037109375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-05,1.51416015625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-06,1.881103515625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-07,9.756103515625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-08,2.988037109375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-09,3.135498046875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-10,5.86474609375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-11,4.59716796875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-12,3.238037109375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-13,5.00634765625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-14,3.54345703125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-15,3.283935546875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-16,2.88232421875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-17,0.830078125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-18,2.22802734375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-19,2.810302734375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-20,2.90673828125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-21,1.960693359375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-22,3.27978515625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-23,1.72509765625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-24,9.380859375,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-25,-1.248046875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-26,2.8720703125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-27,2.073486328125,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-28,2.21875,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-29,1.72119140625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-30,0.7744140625,-
As Oy Niittykumpu 9-11 / Niittykallio 1 ja 5,2024-05-31,2.33251953125,-
